object_id,last_before,first_missing,last_missing,first_after,missing_slots,missing_hours
1,2023-04-12 10:30:00,2023-04-12 10:40:00,2023-04-12 11:00:00,2023-04-12 11:10:00,3,0.5
1,2023-04-12 14:10:00,2023-04-12 14:20:00,2023-04-12 16:20:00,2023-04-12 16:30:00,13,2.166667
1,2023-07-22 05:20:00,2023-07-22 05:30:00,2023-07-22 05:30:00,2023-07-22 05:40:00,1,0.166667
1,2023-07-26 09:40:00,2023-07-26 09:50:00,2023-07-26 17:00:00,2023-07-26 17:10:00,44,7.333333
1,2023-08-11 09:40:00,2023-08-11 09:50:00,2023-08-11 10:00:00,2023-08-11 10:10:00,2,0.333333
1,2023-09-08 10:40:00,2023-09-08 10:50:00,2023-09-08 12:40:00,2023-09-08 12:50:00,12,2.0
1,2023-10-07 08:20:00,2023-10-07 08:30:00,2023-10-07 20:00:00,2023-10-07 20:10:00,70,11.666667
1,2023-11-15 10:40:00,2023-11-15 10:50:00,2023-11-15 11:10:00,2023-11-15 11:20:00,3,0.5
1,2023-11-15 11:20:00,2023-11-15 11:30:00,2023-11-15 11:30:00,2023-11-15 11:40:00,1,0.166667
1,2023-11-15 17:20:00,2023-11-15 17:30:00,2023-11-15 17:40:00,2023-11-15 17:50:00,2,0.333333
1,2023-11-15 19:10:00,2023-11-15 19:20:00,2023-11-15 19:30:00,2023-11-15 19:40:00,2,0.333333
1,2023-11-15 22:20:00,2023-11-15 22:30:00,2023-11-15 22:40:00,2023-11-15 22:50:00,2,0.333333
1,2023-11-16 10:00:00,2023-11-16 10:10:00,2023-11-16 13:40:00,2023-11-16 13:50:00,22,3.666667
1,2023-11-16 13:50:00,2023-11-16 14:00:00,2023-11-16 14:30:00,2023-11-16 14:40:00,4,0.666667
1,2023-11-16 15:10:00,2023-11-16 15:20:00,2023-11-16 15:20:00,2023-11-16 15:30:00,1,0.166667
1,2023-11-16 17:30:00,2023-11-16 17:40:00,2023-11-16 18:00:00,2023-11-16 18:10:00,3,0.5
1,2023-11-16 19:20:00,2023-11-16 19:30:00,2023-11-16 19:30:00,2023-11-16 19:40:00,1,0.166667
1,2023-11-17 06:50:00,2023-11-17 07:00:00,2023-11-17 07:00:00,2023-11-17 07:10:00,1,0.166667
1,2024-01-08 08:30:00,2024-01-08 08:40:00,2024-01-08 09:00:00,2024-01-08 09:10:00,3,0.5
1,2024-02-16 13:40:00,2024-02-16 13:50:00,2024-02-16 14:10:00,2024-02-16 14:20:00,3,0.5
1,2024-04-26 16:20:00,2024-04-26 16:30:00,2024-04-26 21:20:00,2024-04-26 21:30:00,30,5.0
1,2024-05-01 17:50:00,2024-05-01 18:00:00,2024-05-01 18:20:00,2024-05-01 18:30:00,3,0.5
1,2024-05-10 12:30:00,2024-05-10 12:40:00,2024-05-10 12:40:00,2024-05-10 12:50:00,1,0.166667
1,2024-05-18 03:40:00,2024-05-18 03:50:00,2024-06-28 18:30:00,2024-06-28 18:40:00,5993,998.833333
1,2024-06-28 23:00:00,2024-06-28 23:10:00,2024-07-17 17:10:00,2024-07-17 17:20:00,2701,450.166667
1,2024-08-09 12:10:00,2024-08-09 12:20:00,2024-08-09 14:50:00,2024-08-09 15:00:00,16,2.666667
1,2024-08-20 10:50:00,2024-08-20 11:00:00,2024-08-20 15:30:00,2024-08-20 15:40:00,28,4.666667
1,2024-09-12 11:30:00,2024-09-12 11:40:00,2024-09-12 17:00:00,2024-09-12 17:10:00,33,5.5
1,2024-10-02 12:10:00,2024-10-02 12:20:00,2024-10-02 15:50:00,2024-10-02 16:00:00,22,3.666667
1,2024-10-10 10:40:00,2024-10-10 10:50:00,2024-10-10 16:20:00,2024-10-10 16:30:00,34,5.666667
1,2024-10-15 10:10:00,2024-10-15 10:20:00,2024-10-15 17:40:00,2024-10-15 17:50:00,45,7.5
1,2024-12-30 10:20:00,2024-12-30 10:30:00,2024-12-30 12:00:00,2024-12-30 12:10:00,10,1.666667
1,2025-02-28 10:30:00,2025-02-28 10:40:00,2025-02-28 16:20:00,2025-02-28 16:30:00,35,5.833333
1,2025-03-07 15:10:00,2025-03-07 15:20:00,2025-03-07 18:10:00,2025-03-07 18:20:00,18,3.0
1,2025-03-07 18:30:00,2025-03-07 18:40:00,2025-03-07 18:40:00,2025-03-07 18:50:00,1,0.166667
1,2025-03-31 10:30:00,2025-03-31 10:40:00,2025-03-31 18:10:00,2025-03-31 18:20:00,46,7.666667
1,2025-04-04 11:40:00,2025-04-04 11:50:00,2025-04-04 17:00:00,2025-04-04 17:10:00,32,5.333333
1,2025-04-04 18:20:00,2025-04-04 18:30:00,2025-04-04 18:30:00,2025-04-04 18:40:00,1,0.166667
1,2025-04-08 10:30:00,2025-04-08 10:40:00,2025-04-08 17:50:00,2025-04-08 18:00:00,44,7.333333
1,2025-04-10 07:40:00,2025-04-10 07:50:00,2025-04-10 08:00:00,2025-04-10 08:10:00,2,0.333333
1,2025-04-17 11:30:00,2025-04-17 11:40:00,2025-04-17 17:00:00,2025-04-17 17:10:00,33,5.5
1,2025-04-26 09:10:00,2025-04-26 09:20:00,2025-04-26 09:30:00,2025-04-26 09:40:00,2,0.333333
1,2025-05-15 11:00:00,2025-05-15 11:10:00,2025-05-15 11:20:00,2025-05-15 11:30:00,2,0.333333
1,2025-05-15 12:40:00,2025-05-15 12:50:00,2025-05-15 12:50:00,2025-05-15 13:00:00,1,0.166667
1,2025-05-22 12:10:00,2025-05-22 12:20:00,2025-05-22 14:00:00,2025-05-22 14:10:00,11,1.833333
1,2025-05-23 18:50:00,2025-05-23 19:00:00,2025-05-24 22:50:00,2025-05-24 23:00:00,168,28.0
1,2025-05-28 07:30:00,2025-05-28 07:40:00,2025-05-28 13:00:00,2025-05-28 13:10:00,33,5.5
1,2025-06-03 11:00:00,2025-06-03 11:10:00,2025-06-03 12:10:00,2025-06-03 12:20:00,7,1.166667
1,2025-06-03 13:40:00,2025-06-03 13:50:00,2025-06-03 13:50:00,2025-06-03 14:00:00,1,0.166667
1,2025-06-17 10:20:00,2025-06-17 10:30:00,2025-06-17 17:40:00,2025-06-17 17:50:00,44,7.333333
1,2025-06-17 23:00:00,2025-06-17 23:10:00,2025-06-18 00:50:00,2025-06-18 01:00:00,11,1.833333
1,2025-06-24 08:10:00,2025-06-24 08:20:00,2025-06-24 08:20:00,2025-06-24 08:30:00,1,0.166667
1,2025-07-02 12:20:00,2025-07-02 12:30:00,2025-07-02 13:00:00,2025-07-02 13:10:00,4,0.666667
